timestamp,hostname,os_name,interval_seconds,cpu_percent,memory_percent,swap_percent,process_count,user_process_count,new_process_count,thread_count,open_file_count,connection_count,established_count,listen_count,remote_ip_count,remote_port_count,uncommon_remote_port_count,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec
1784426931.2343326,Maxim9012,Windows,5.0,17.6,68.2,0.9,295,142,1,5089,3017,216,91,53,44,50,48,45319.6,113224.4,184.6,261.4
1784426957.6595652,Maxim9012,Windows,5.0,28.9,68.1,0.9,300,145,5,5205,3033,219,94,53,48,45,43,29096.4,120298.0,169.6,225.0
1784426984.8532498,Maxim9012,Windows,5.0,29.6,68.9,0.8,302,147,2,5238,3051,255,97,53,49,71,69,30387.0,80265.2,178.2,201.2
1784427012.711517,Maxim9012,Windows,5.0,28.0,68.3,0.8,299,143,1,5244,3018,254,91,53,47,67,65,29778.4,78751.2,173.4,212.6
1784427039.2463214,Maxim9012,Windows,5.0,25.0,67.4,0.9,299,144,2,5246,3046,249,89,53,46,67,65,13230.6,36359.0,106.6,127.0
1784427065.3520277,Maxim9012,Windows,5.0,20.7,66.1,0.9,297,142,0,5161,3018,255,87,53,47,67,65,13490.8,48193.2,113.8,138.0
1784427090.9275796,Maxim9012,Windows,5.0,22.5,67.7,0.9,300,147,5,5171,3073,237,88,53,46,55,53,12856.2,39124.8,109.0,130.6
1784427117.2149973,Maxim9012,Windows,5.0,20.3,67.1,0.9,295,142,0,5084,3018,215,89,53,46,40,38,11603.6,34065.6,105.2,122.8
1784427142.8267138,Maxim9012,Windows,5.0,20.4,66.1,0.9,296,142,1,5098,3028,214,89,53,45,40,38,22310.6,41546.2,126.2,146.4
1784427169.0340512,Maxim9012,Windows,5.0,24.3,67.3,0.9,296,142,0,5079,3028,216,87,53,44,40,38,42025.6,41282.6,143.4,159.4
1784427194.8432477,Maxim9012,Windows,5.0,20.7,66.1,0.9,296,142,0,5036,3018,206,85,53,42,40,38,12433.2,36835.0,111.8,120.8
1784427220.8447697,Maxim9012,Windows,5.0,22.5,67.4,0.9,298,144,2,5109,3037,204,83,53,40,40,38,10126.2,36786.6,96.6,123.2
1784427246.9530144,Maxim9012,Windows,5.0,21.2,66.1,0.9,296,142,0,5040,3018,208,83,53,40,41,39,14387.4,35060.8,110.4,129.6
1784427272.5688438,Maxim9012,Windows,5.0,22.1,67.5,0.9,301,148,6,5150,3082,202,83,53,40,40,38,14197.0,42118.8,113.2,144.0
1784427298.9638567,Maxim9012,Windows,5.0,20.5,66.8,0.9,294,142,0,5027,3018,205,81,53,39,40,38,12983.4,34683.0,107.2,127.6
1784427324.560677,Maxim9012,Windows,5.0,21.5,65.0,0.9,294,142,0,5031,3028,204,84,53,38,40,38,26384.2,68902.0,157.4,176.4
1784427350.4580412,Maxim9012,Windows,5.0,22.6,66.2,0.9,294,142,0,5014,3028,205,86,53,40,40,38,12486.8,36193.6,102.8,121.8
1784427375.9233084,Maxim9012,Windows,5.0,19.8,65.0,0.9,294,142,0,4993,3018,207,87,53,42,41,39,14084.4,37862.2,111.4,133.6
1784427401.8355556,Maxim9012,Windows,5.0,22.9,66.2,0.9,295,143,1,5015,3028,208,87,53,42,40,38,13728.2,39615.6,113.6,133.2
1784427427.4847538,Maxim9012,Windows,5.0,19.1,65.0,0.9,294,142,0,5000,3018,214,88,53,44,42,40,12588.0,36393.6,110.0,126.4
1784427453.5089211,Maxim9012,Windows,5.0,24.8,66.0,0.9,300,147,6,5110,3073,209,88,53,44,40,38,12534.8,39476.6,110.0,131.8
1784427479.8468175,Maxim9012,Windows,5.0,19.5,64.8,0.9,295,142,0,5011,3018,210,88,53,44,40,38,10316.4,34427.2,98.6,120.0
1784427505.376273,Maxim9012,Windows,5.0,20.1,64.8,0.9,296,142,2,5009,3028,211,89,53,46,41,39,12243.8,37154.2,106.6,128.2
1784427531.4267845,Maxim9012,Windows,5.0,22.6,66.0,0.9,296,142,0,5012,3018,208,87,53,44,40,38,11589.2,34791.2,104.0,125.2
1784427556.9281523,Maxim9012,Windows,5.0,20.1,64.9,0.9,296,142,0,5016,3026,208,89,53,44,41,39,13580.4,39698.4,111.2,131.2
1784427582.9909487,Maxim9012,Windows,5.0,23.0,65.2,0.9,294,143,1,5014,3036,206,89,53,42,41,39,11739.0,35182.0,99.4,124.4
1784427608.719226,Maxim9012,Windows,5.0,19.1,63.9,0.9,293,142,0,4984,3017,213,89,53,43,41,39,26502.2,67459.4,157.4,190.0
